Software Name,Actual Spelling
import/export,zzz
"destinatons international (mint, eic, empowermint)",zzz
integrated solutions limited,zzz
adp,zzz
bank accounts,zzz
comarch e-sklep,zzz
a.d. banker & co.,zzz
integration x planpoint,zzz
associated leads,zzz
calendar feed,zzz
ntt comware corporation,zzz
pritchard consulting,zzz
ios app,zzz
web-to-lead,zzz
database mirroring service,zzz
apple,zzz
canada postes,zzz
shopgold,zzz
samsung,zzz
conversys technologies pvt. ltd.,zzz
trisource solutions,zzz
language packs,zzz
marketplace,zzz
v2 technologies,zzz
lawson,zzz
michael chan,zzz
generali travel insurance,zzz
prichard consulting limited,zzz
data aggregator,zzz
"shinden hightex, corp.",zzz
translation service module,zzz
chrome extension for gmail,zzz
mitsui knowledge industry co limited,zzz
experian,zzz
intellegent internet solution corp.,zzz
ecommerce plugin,zzz
crosstrust inc.,zzz
suite2microsoft excel,zzz
google sign in,zzz
collaboration,zzz
facebook pages,zzz
monitor,zzz
google address,zzz
facebook custom audience,zzz
simple email surveys,zzz
box,box
ntirety,Ntirety Managed Hybrid Cloud
sharepoint,SharePoint Azure AD Connect
(erp) sap,SAP CRM
(sso) onelogin,OneLogin
abby ocr,abbyy
adobe pdf,Adobe Acrobat DC
adobe sign for acumatica,adobe sign
adobesign,adobe sign
adobesign,adobe sign
adobesign,adobe sign
adobesign,adobe sign
alteris consulting,Alteris BMS
anaplan docusign integration,Anaplan
aodocs document management for docusign,AODocs
apttus,Apttus CPQ
apttus,Apttus CPQ
apttus contract management,Apttus Contract Lifecycle Management
ariba,SAP Ariba
ariba,SAP Ariba
astral,Astral Manufacturing ERP
avalara sales tax automation,Avalara
azure active directory,Azure Active Directory B2C
birddoghr – integrated talent management software,BirdDogHR
bluesnap checkout,BlueSnap
bullhorn,Bullhorn ATS & CRM
ceridian,Ceridian Dayforce
cgi,Commerce.CGI
citrix,citrix podio
clm matrix for docusign signature appliance,CLM Matrix
close.io,close
cloudpwr airlift,Airlift
cloudreach connect,Cloudreach
cobblestone software,CobbleStone Contract Insight
commerce pro,eCommerce Pro
constellation homebuilder systems,Constellation TMS
copper crm,copper
corrigo enterprise facilities management,Corrigo
coupa,Coupa Contract Lifecycle Management
criterionhcm,Criterion HCM
dbs,DBSync
docstar,DocStar AP Automation
docupace,Docupace Technologies
eazystock inventory optimization solution,EazyStock
ebizcharge credit card processing integration,EBizCharge
edi service provider,EDI Solutions
edi service provider,EDI Solutions
egnyte enterprise file sharing,egnyte
ellucian partner,Ellucian Ethos
elo for docusign signature appliance by future solutions,ELOprofessional
embedded edi integration for acumatica,EDI Solutions
emphasys software,e-Emphasys ERP
engagebay inc,EngageBay All-in-One Suite
engaged md,Engagedly
envoy + docusign integration,envoy
eoriginal,eOriginal Total Solution
erecruit by bullhorn,erecruit
esign live,eSign Standard
esigndocs,eSign Genie
esignlive,eSign Standard
esignpay,eSign Genie
exaktime – time and attendance,ExakTime
ez coordinator,EZ Collector
"ezidox™, document management made easy.",ezidox™
f5,F5 Access Policy Manager
flexipim - product information management (pim) system,flexiPIM
fountain hiring software,Fountain
foxit,Foxit PDF SDK
freshbooks new,freshbooks
freshteam - the smart hr software for growing businesses.,Freshteam
fujitsu scansnap,Fujitsu PaaS
fusion laserpro,Fujitsu PaaS
g calendar,Google Calendar
g drive,Google Drive
gatekeeper api,Gatekeeper
gatekeeper api,Gatekeeper
genpact,Genpact Cora
google cloud,Google Cloud Functions
google cloud,Google Cloud Functions
google cloud,Google Cloud Functions
google drive picker,google drive
google sso,G Suite
greenhouse recruiting,Greenhouse
hcm for hr and payroll,HCM & Payroll SQL Software
hearsay advisor cloud,Hearsay
highjump voice,HighJump One Platform
highq,HighQ Publisher
himpact inventory optimization,HIMPACT
hp enterprise,HP Sure Click Enterprise
ichannel,iChannel CRM
insite ecommerce software,InSite
integrator.io integration platform-as-a-service (ipaas),Celigo integrator.io
intelligent insights powered by seal software,Seal Platform
intuit esignature,intuit
intuit quickbooks,intuit
ironclad api,Ironclad
ivalua,Ivalua Procurement Solution
ivalua source to contract solution,Ivalua Procurement Solution
jaggaer contract lifecycle management,Jaggaer
jdx,JDXpert
jotform: online form builder,JotForm
k2 blackpearl docusign connector,K2
k2 for docusign signature appliance,K2
lime crm,Lime
lime crm,Lime
lime go,Lime
microsoft active directory,Microsoft Azure Active Directory
microsoft dynamic,microsoft office 365
microsoft office integration,microsoft office 365
microsoft office world,microsoft office 365
microsoft onedrive,microsoft onedrive for business
microsoft onedrive,microsoft onedrive for business
microsoft onedrive,microsoft onedrive for business
mobile sales app for acumatica,Skynamo Sales App
ms exchange,Microsoft Exchange
napersoft ccm document platform,Napersoft CCM
napersoft ccm document platform,Napersoft CCM
netapp,NetApp Backup and Recovery
nitro pro for docusign signature appliance,Nitro Productivity Suite
nitro pro for docusign signature appliance,Nitro Productivity Suite
ntt data,NTT Data Service Desk
office,microsoft office 365
okta/saml 2.0,Okta
okta/saml 2.0,Okta
one login,onelogin
oracle documents cloud,Oracle Cloud PaaS
oracle documents cloud,Oracle Cloud PaaS
oracle sales cloud and docusign,Oracle Engagement Cloud (formerly Oracle Sales Cloud)
oracle sales cloud and docusign,Oracle Engagement Cloud (formerly Oracle Sales Cloud)
oracle webcenter content for docusign signature appliance,Oracle WebCenter Content
oracle webcenter content for docusign signature appliance,Oracle WebCenter Content
orbis dsd route accounting & planning,Orbis
paladin associates,Paladin
parley pro contract negotiation,Parley Pro
parley pro contract negotiation,Parley Pro
paypool ap automation,Paypool
phocas data analytics,Phocas Software
pramata customer relationship intelligence,Pramata
pramata customer relationship intelligence,Pramata
precisefp: data gathering and engagement platform,PreciseFP
precisefp: data gathering and engagement platform,PreciseFP
premikati (sap partner),SAP Ariba
prosperoware,Prospero
ptc,PTC MOVE
quickbase & docusign provided by juiced technologies,QuickBase
quickbase & docusign provided by juiced technologies,QuickBase
quickbooks,QuickBooks Online
quickbooks,QuickBooks Online
quickbooks desktop,QuickBooks Desktop Enterprise
remedy,BMC Helix Remedyforce
riverbed,Riverbed Cloud Accelerator
s&p solutions,S&P Global Market Intelligence
sage 300,sage 300cloud
sai360® compliance risk,SAI360
sai360® compliance risk,SAI360
salesforce custom,salesforce crm
salesforce isv,salesforce crm
salesforce isv,salesforce crm
salesforce silver isv,salesforce crm
salesforce standard,salesforce crm
salesforce steelbrick,salesforce crm
salesforceiq,salesforce crm
sap hana cloud platform,SAP HANA
sap hybris,SAP Hybris Service
shopify connector,shopify
sign with docusign for clio,clio
sign with docusign for clio,clio
single sign-on,AWS Single Sign-On
single sign-on,AWS Single Sign-On
skykick cloud manager,SkyKick
skykick cloud manager,SkyKick
starship shipping software,StarShip
sumati,Sumatia Financials
superoffice,superoffice crm
superoffice,superoffice crm
tensor flow,TensorFlow
the topia product suite,Topia
the topia product suite,Topia
thunderhead,Thunderhead ONE Engagement Hub
thunderhead,Thunderhead ONE Engagement Hub
treeno content server software,Treeno
treeno content server software,Treeno
truecommerce,TrueCommerce EDI
truecommerce edi in the cloud for acumatica,TrueCommerce EDI
truecommerce pack & ship,TrueCommerce Pack and Ship
vertek,vertex sales tax solution
vmware,VMware Cloud Foundation
vmware,VMware Cloud Foundation
webcon,WEBCON BPS
webcon,WEBCON BPS
webmerge - build documents faster,Formstack Documents (formerly WebMerge)
webmerge - build documents faster,Formstack Documents (formerly WebMerge)
workwave routing engine,Workwave Route Manager
workwave servman,WorkWave Service
workwave servman,WorkWave Service
wufoo: online form builder & database,Wufoo
wufoo: online form builder & database,Wufoo
aws,zzz
(saml-based sso),zzz
(solution partners) blueprism,zzz
1retail point of sale,zzz
abiz,zzz
abiz contracts & consulting,zzz
acc israel,zzz
accenture strategy,zzz
"accounting automation – ap, payments, expenses, and more",zzz
acenture,zzz
activus gps,zzz
acucademy online training courses,zzz
aim consulting,zzz
airbus,zzz
all for one steeb,zzz
allscripts,zzz
almond logic handler/processor,zzz
amazon global security,zzz
aon,zzz
ap & payment automation,zzz
ap invoice processing automation,zzz
"ap, invoice & payment automation",zzz
applied statistics & management inc. (mdstaff),zzz
apposite lab for microsoft dynamics crm,zzz
aps payments credit card processing integration,zzz
aretec,zzz
arrayworks,zzz
at&t,zzz
atkearney,zzz
atos,zzz
aurotech,zzz
autobidmaster,zzz
autopal,zzz
avanade,zzz
avanteam,zzz
aventx for docusign,zzz
axibility,zzz
axys consultants,zzz
barcode scanners,zzz
bigcommerce connector,zzz
bigcommerce implementation specialist | full service digital agency,zzz
bigmachines,zzz
bjg consulting llc,zzz
blue car technologies docusign connector for imanage work,zzz
blue car technologies docusign connector for opentext edocs,zzz
blue car technologies docusign signature appliance connector for opentext edocs,zzz
blue car technologies imanage work for docusign signature appliance,zzz
blue ridge health,zzz
boston logic,zzz
brightleaf,zzz
brightleaf,zzz
brightleaf,zzz
brokersumo,zzz
cad integration,zzz
cadsi aicds,zzz
campus door tuition source v4 (tsv4),zzz
carahsoft,zzz
cdc arkhineo,zzz
centrify user suite,zzz
cenza,zzz
cks consulting,zzz
cloud financial reporting software,zzz
cloud integrate,zzz
cognia law,zzz
command center,zzz
commonsubdoc,zzz
complete consumer loan origination platform,zzz
comprara,zzz
connectmls,zzz
consenso,zzz
consignment processing,zzz
container tracking,zzz
contract management solutions,zzz
corporate performance management,zzz
corporate performance management solution,zzz
customization and integration services,zzz
decisionlender 4,zzz
dell emc,zzz
deloitte digital,zzz
denali group,zzz
development & consulting services,zzz
dialing,zzz
digidemat,zzz
direct db integration,zzz
document management & business process automation,zzz
document management and business process automation,zzz
document management solution,zzz
duck creek technologies,zzz
duff & phelps,zzz
duff & phelps,zzz
dun & bradstreet,zzz
e&i corporate services,zzz
ec sourcing group,zzz
ecommerce development and consulting services,zzz
ecommerce shipping solution,zzz
efficio,zzz
email import,zzz
enterprise content management and workflow automation solutions,zzz
enterprise science application,zzz
equifax irs income verification,zzz
exágo,zzz
experis manpower group,zzz
ey,zzz
ezcertorigin,zzz
fastman opentext cs for docusign signature appliance,zzz
federação estadual das cooperativas médicas (fesp),zzz
first insurance funding quotes in view,zzz
fmt consultants,zzz
forefront,zzz
frazier & deeter,zzz
futurevault inc,zzz
g2crowd,zzz
givewith platform,zzz
"global consolidation, budgeting & planning",zzz
h&z,zzz
hansen,zzz
hbr consulting,zzz
highpoint solutions,zzz
hitachi,zzz
homes.com,zzz
hotlinks,zzz
hp,zzz
htwg,zzz
huron,zzz
huron consulting group,zzz
iaccm,zzz
iaccm,zzz
ibaset,zzz
ibridge,zzz
ibroker,zzz
idealnet.inc,zzz
iladjust,zzz
"implementation, support & customization services",zzz
informa software,zzz
infosys portland,zzz
"insidere, llc",zzz
instant phone call,zzz
integration support & consulting,zzz
integreon,zzz
integreon,zzz
intelliplan,zzz
intra links,zzz
inventory optimization solution,zzz
iqvia/highpoint,zzz
itcelerator,zzz
jdesign,zzz
kpit,zzz
kpit,zzz
kwik-loan,zzz
ldap,zzz
ldap,zzz
lear corporation,zzz
legalease solutions llc,zzz
lenovo,zzz
lexmark,zzz
light manufacturing solution,zzz
lockbox processing,zzz
loxysoft,zzz
lsi,zzz
lti,zzz
lululemon athletica,zzz
macconnector - magento connector,zzz
magento/acumatica connector,zzz
mainspring,zzz
mainspring,zzz
mainspring,zzz
mainspring,zzz
mainspring consulting group llc,zzz
mannai trading co. wll,zzz
marketing mavens,zzz
mawa,zzz
maxq cannabis management solution,zzz
maytronics,zzz
mbb solutions llc,zzz
mcafee,zzz
mercury housing and conference management system,zzz
meridianlink loanspq and xpress accounts,zzz
mgm resorts,zzz
mind merchants,zzz
mindcrest,zzz
mindmerchants,zzz
mooveguru,zzz
mooveguru,zzz
mphasis,zzz
mydoconline,zzz
"mymerged: a network effect environment for real estate transactions, services, & new marketplaces",zzz
"mymerged: a network effect environment for real estate transactions, services, & new marketplaces",zzz
national data systems leadtrac,zzz
national data systems leadtrac,zzz
ncino,zzz
ncma,zzz
nda corp,zzz
nda corp,zzz
netcompany,zzz
new technology research,zzz
new technology research,zzz
nonprofit accounting solution,zzz
nprodigy,zzz
numen,zzz
object,zzz
object,zzz
open solutions,zzz
open solutions,zzz
openware mobility,zzz
p&g,zzz
partners in performance,zzz
"payment, settlement and reconciliation module",zzz
pd partner,zzz
philosophy,zzz
positive pay - detect fraudulent checks,zzz
powerschool,zzz
practice solutions,zzz
procurex,zzz
product lifecycle management,zzz
property management solution,zzz
purestorage,zzz
reaktivate,zzz
rebate processing,zzz
reco,zzz
"requisition, procurement, & expense solution",zzz
retail management solution,zzz
saaspass,zzz
saaspass,zzz
sales order automation,zzz
saml,zzz
saml 2.0,zzz
sanofi,zzz
satuitcra investor portal,zzz
satuitcra investor portal,zzz
scalefocus,zzz
se2,zzz
se2,zzz
seal contract discovery and analysis,zzz
second phase ecommerce and pim solutions,zzz
sedona technologies,zzz
setapdf-signer for cosign central,zzz
setapdf-signer for cosign central,zzz
sftp,zzz
sharedhr,zzz
sharedhr,zzz
shipping container management,zzz
shipping software solution,zzz
siab,zzz
smartshift,zzz
snap financial,zzz
snap financial,zzz
snapnhd,zzz
snapnhd,zzz
softtek,zzz
sourcing on demand,zzz
spikes cavell,zzz
sso,zzz
standav,zzz
statera,zzz
statistics norway,zzz
stephen matthews & associates,zzz
talentwise,zzz
talentwise,zzz
taxreturnverifications.com,zzz
taxreturnverifications.com,zzz
tayana process manufacturing solution,zzz
tcs,zzz
tech mahindra,zzz
technology blueprint ltd.,zzz
technology blueprint ltd.,zzz
text file,zzz
the hackett group,zzz
the room,zzz
thomson reuters,zzz
thomson reuters,zzz
tierpoint,zzz
tonkean adaptive business operations (abo) platform,zzz
tonkean adaptive business operations (abo) platform,zzz
tpg,zzz
tpr legal,zzz
transperfect trial interactive,zzz
transperfect trial interactive,zzz
tresler,zzz
uniform code council,zzz
unilever,zzz
unitedlex,zzz
uptima,zzz
velositi,zzz
versartis,zzz
warehouse management solution,zzz
wave apps,zzz
wealth access,zzz
wealth access,zzz
word plugin,zzz
work order management,zzz
xcellink.pte.ltd,zzz
xoomworks procurement,zzz
ziplogix,zzz
ziplogix,zzz
