Title,Review URL,G2 Score,Description,Reviews,Comments,Website,Integration 1,Integration 2,Integration 3,Integration 4,Integration 5,Integration 6,Integration 7,Integration 8,Integration 9,Integration 10,Integration 11,Integration 12,Integration 13,Integration 14,Integration 15,Integration 16,Integration 17,Integration 18,Integration 19,Integration 20,Integration 21,Integration 22,Integration 23,Integration 24,Integration 25,Integration 26,Integration 27,Integration 28,Integration 29,Integration 30,Integration 31,Integration 32,Integration 33,Integration 34,Integration 35,Integration 36,Integration 37,Integration 38,Integration 39,Integration 40,Integration 41,Integration 42,Integration 43,Integration 44,Integration 45,Integration 46,Integration 47,Integration 48,Integration 49,Integration 50,Integration 51,Integration 52,Integration 53,Integration 54,Integration 55,Integration 56,Integration 57,Integration 58
SalesIntel,https://www.g2.com/products/salesintel/reviews,4.5,SalesIntel is the top provider of accurate and affordable sales and marketing contact data with highest number of direct dials and human-verified contacts in the industry. SalesIntel is your resource for contact and business intelligence. SalesIntelâ€™s new method is to have every direct dial number and email tested and re-verified every 90 days. Our combination of automation and researchers allows us to reach 95% data accuracy for all our published contact data while continuing to scale up our nu,-14,Data on website,https://salesintel.io/integrations/,Chrome,Salesforce,Hubspot,outreach,zzz,Marketo,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Seamless.ai,https://www.g2.com/products/seamless-ai/reviews,4.1,"Maximize revenue, increase sales and acquire your total addressable market instantly using artificial intelligence. Join thousands who are generating millions today at www.seamless.ai.",-89,Data on website,https://help.seamless.ai/hc/en-us/categories/360001345112-CRM-Integrations,Salesforce,Hubspot,outreach.io,Zapier,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Leadiro,https://www.g2.com/products/leadiro/reviews,4.2,"Leadiro's Data platform enables you to precisely target named accounts across 90 countries and providing insights on: 
 - 38 million B2B executives
 - Technology Install Base 
 - Account Based Marketing",-104,Data on website,https://help.leadiro.com/en/articles/1243867-integrations,Marketo,Salesforce,reply,Hubspot,Marketo,Pipedrive,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Wiza,https://www.g2.com/products/wiza/reviews,4.7,"Wiza takes the pain out of prospecting. Turn LinkedIn Sales Navigator searches and saved leads into a list of verified lead emails. 
 Features include:
 LinkedIn scraping
 Email validation
 Pay As You Go and credit rollover
 CSV Download
 Outreach.io & Salesforce integration
 Individual profile email finder
 Free no-email scrapes
 Unlimited scan queues
 With Wiza, you can prospect at scale, generate leads quickly and reach out with confidence.
 Get lead emails with 99.5% deliverability so you and y",-34,Data from 3rd party,https://sourceforge.net/software/product/Wiza/integrations/,linkedin premium,outreach,LinkedIn Sales Navigator,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
AeroLeads,https://www.g2.com/products/aeroleads/reviews,4.1,"AeroLeads is a powerful web based Prospect Generation Software which not only find relevant prospects but also find contact details of it. All the data can be saved in your account, exported as well as transferred to other sites like SalesForce, Zapier, HubSpot, Mailchimp etc.
 It is a powerful Prospecting and Sales Intelligence software which works with sites like LinkedIn, Crunchbase, AngelList as well as you can upload your own lists.",-55,Data on website,https://aeroleads.com/,Salesforce,Hubspot,CRM,Pipedrive,Zoho CRM,freshsales,Zapier,Adobe,zzz,Gartner,GrubHub,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
RampedUp.io,https://www.g2.com/products/rampedup-io/reviews,4.7,"RampedUp is a trusted contact data solution for global marketers. We help our customers keep their database current, complete, and compliant with over 350 million social-sourced contacts. For Sellers, RampedUp provides battlecards for 9 Million companies with Trigger Events, Direct Dial Phone Numbers, and alerts for New Executives.",-17,Data on website,https://rampedup.io/salesforce-integration,Salesforce,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
DataFox,https://www.g2.com/products/datafox/reviews,4.3,"DataFox was acquired by Oracle in October 2018. DataFox is a leading artificial intelligence (AI) data engine that continuously extracts company-level data and signals to elevate business performance across the enterprise. Enriching customer records with 70+ firmographic data points and 68 types of signals, DataFox allows you to infuse your workflows with trusted data and keep company data up to date forever. Using AI-sourced and human-verified company data, begin to profile and classify your c",-65,Data from 3rd party,https://www.oracle.com/applications/customer-experience/datafox/,zzz,Oracle Eloqua,Salesforce,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Introhive,https://www.g2.com/products/introhive/reviews,4.2,"Born from the frustration of trying - and failing - to utilize CRM to discover who knows who, Introhive is an AI-powered platform that helps organizations of all sizes and complexity unlock the power of their business relationships. 
 Introhiveâ€™s automated data collection and AI-powered relationship intelligence empower sales, marketing and business development teams to ditch mundane data entry and focus on what matters mostâ€”building connections and closing deals.
 Introhive helps clients:
  - I...
  Show More
 ncrease employee productivity by freeing up to 12+ hours of time per week with data automation technology
  - Grow revenue faster by mapping 5-10x more contacts and relationships per employee in CRM
  - Drive higher data quality in CRM with AI-powered data enrichment technology
  - Increase customer retention and satisfaction with real-time insights into customer traction and engagement",-25,Data on website,https://www.introhive.com/partners-and-integrations/,Salesforce,microsoft office 365,zzz,zzz,zzz,Maximizer CRM,zzz,zzz,zzz,procore,tikit,Vuture,manzama,wilson allen,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Global Database,https://www.g2.com/products/global-database/reviews,4.5,"Global Database is a B2B data provider that offers a large directory, holding more than 65 million exhaustive company profiles and over 80 million contacts' information (CEOs, directors, managers, heads of departments and other) across 195 countries and 34 industries. The platform is automatically updated on a daily basis. It allows users to follow preferred profiles (either companies or executives) and sends instant notifications once their information is changed (e.g. post or seniority level,...
  Show More
  contact info or any other data). There are over 100 filters available (by industry, SIC code, company size, revenue, seniority level, years of experience and many more), which allow users to quickly find the exact contacts they need.
 In the same time, Global Database can be integrated with your Salesforce account and other CRMs (Slack, amoCRM, Asana etc.), different Marketing Automation tools (Oracle Eloqua, Zendesk, HubSpot, Marketo, Mailchimp etc.), as well as API and Sales Development tools (Salesloft, Outreach, Close.io etc.).
 For marketing and sales professionals, the platform is a great source of new and active leads, showing all technologies used by every company. For finance departments, financial history for up to 10 years, organizational charts and many other financial data are shown, which can all be exported as a PDF file. Similarly, users can credit check potential stakeholders, analyzing the needed information in detail. The platform can also be of great use for HR departments, providers, wholesalers, retailers, producers and intermediaries, to name just a few.
 Global Database customers include Microsoft, Oracle, Avaya, Cisco, KPMG, Maserati, DHL, Dupont, Iveco, Caterpillar, Ipsos, Motorola Solutions, Experian and more.
 The platform allows users to download contacts information in both CSV and XLS formats.",-12,Data on website,https://www.globaldatabase.com/about,Salesforce,Slack,zzz,amoCRM,Pipedrive,Microsoft Dynamics,Asana,SugarCRM,SendGrid,Oracle Eloqua,zendesk support,Hubspot,Marketo,Mailchimp,Salesloft,outreach,close,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Leadspace,https://www.g2.com/products/leadspace/reviews,4.3,"Leadspace helps companies take back control of their marketing and sales data with its leading intelligent B2B Customer Data Platform. It helps you get healthy, with advanced tools for enriching and updating all your data with the most rich and open B2B data graph in the industry. Next, it helps you get smart, using sophisticated AI to unlock the insights and opportunities buried deep inside your data. Then, it helps you get busy, by activating the enhanced data, in real-time, across sales and",-87,Data on website,"https://www.leadspace.com/hubspot-and-leadspace-integration-helps-b2b-marketers-boost-campaign-performance-with-predictive-analytics-and-b2b-data/#:~:text=Leadspace%20Enrichment%20works%20automatically%20with,Leadspace%20Virtual%20Data%20Management%20Platform.
 https://www.leadspace.com/products/leadspace-for-salesforce/",Hubspot,Salesforce,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Enlyft,https://www.g2.com/products/enlyft-enlyft/reviews,4.4,"Enlyft helps B2B sales & marketing teams find, prioritize, engage and convert the companies most likely to buy their products through dedicated AI and deep proprietary account data.
 We enable you to discover best fit accounts among tens of millions of companies worldwide by targeting technology adoption and hundreds of business attributes. Our AI platform predicts who needs your technology products and when they are ready to buy. What's more - Enlyft gives your teams access to business crit",-55,Data not found,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Opensense,https://www.g2.com/products/opensense/reviews,4.5,"Opensense (formerly SenderGen) delivers beautiful email signatures, on any device. 
 Our email signature management and analytics suite allow the Marketing and Sales teams to:
 1) Centrally manage the look & feel of their email signature branding (No more ugly and unprofessional signatures)
 2) Insert real-time personalized banners and promotions into the signature. Targeting based on Marketo, Hubspot, Salesforce and more. (Drive whitepaper downloads, video views, and event registrations.)
 3",-68,Data on website,https://www.opensense.com/email-signature-management,Hubspot,Marketo,Pardot,Eloqua,Salesforce,outreach,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
S&P Global Market Intelligence,https://www.g2.com/products/s-p-global-market-intelligence/reviews,4.3,"S&P Global Market Intelligence, formerly S&P Capital IQ and SNL Financial, is a provider of multi-asset class and real time data, research, sales intelligence and analytics.",-58,Data on website,https://appexchange.salesforce.com/category/intelligence,Salesforce,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Zoho SalesIQ,https://www.g2.com/products/zoho-salesiq/reviews,4.4,"Zoho SalesIQ is a customer engagement platform with live chat, website visitor tracking, and analytics capabilities that helps you know your visitors, engage them and support your customers in real time.
 Here's how SalesIQ facilitates better customer engagement.Â 
 Segment your website visitorsÂ 
 SalesIQ gives you a real-time ordered visitor list, based on the criteria you select, with data such as their location, behaviour and time spent on site, etc, and also assigns them a lead score as per yo",-200,Data not found,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Zint,https://www.g2.com/products/zint/reviews,5,"Zint is a Prospect Relationship Management system and the first of it's kind. Mirroring your existing prospecting spreadsheets, Zint fills in the gaps with real-time insight, enabling Sales teams to identify the best sales opportunities at any given time and collaborate seamlessly around one single source of truth. As a result, our customers have seen an 80% increase in the number of qualified leads they have generated and have more than doubled their typical number of referrals. To trial the pl",-11,Data not found,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
EverString,https://www.g2.com/products/everstring/reviews,4.1,"EverStringâ€™s AI SaaS solution is designed for B2B sales and marketing professionals to drive pipeline growth, help close new customers, expand into new markets, prioritize accounts, and provide actionable insights â€“ all without the need for an administrator.",-55,Data from 3rd party,zzz,terminus,Salesforce,Hubspot,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
KickFire,https://www.g2.com/products/kickfire/reviews,4.1,"Todayâ€™s B2B organizations rely on accurate data to power their sales and marketing strategies -- KickFire's IP address intelligenceâ„¢ translates IP addresses to companies and provides account-level firmographic data, such as industry, revenue, employee count, and more. 
 B2B marketers can leverage this data to identify website visitors, personalize content, target ads, enrich forms, append CRM data, and other account-based marketing strategies.
 KickFireâ€™s IP address intelligence and B2B firmogra",-51,Data on website,https://www.kickfire.com/integrations,Adobe,Act-On,Drift,oracle eloqua,ensighten,Google Marketing Platform,integrate,Intercom,LiveRamp,Marketo,Openprise,segment,sitecore,slack,zzz,connectwise,Hubspot,microsoft office 365,Salesforce,Sugar CRM,zzz,constant contact,mailchimp,ActiveCampaign,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
D&B Optimizer,https://www.g2.com/products/d-b-optimizer/reviews,3.9,"Powered by the Data Cloud, D&B Optimizer serves as the foundational building block for your sales and marketing alignment by delivering valuable business intelligence on more than 350 million business records and their corporate hierarchies. These records are curated from thousands of sources and are updated 5 million times a day providing you with the quality B2B data you need to increase productivity and organizational alignment, while enabling you to accelerate growth.
 D&B Optimizer",-32,Data on website,https://www.dnb.com/products/marketing-sales/dnb-optimizer.html,zzz,Salesforce,oracle eloqua,Marketo,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Intricately,https://www.g2.com/products/intricately/reviews,4.3,"Intricately offers a data set on cloud infrastructure analytics for companies like Snowflake, Amazon Web Services, Verizon Digital Media Services, Avi Networks, and Fastly. With this new data set, these companies can redefine their target accounts, enhance current scoring/propensity models, identify new markets/verticals and much more.
 Historically, organizations have decided who their target customers are based on basic data including firmographic and binary, often inaccurate, technographic da",-27,Data from 3rd party,zzz,Salesforce,Marketo,Hubspot,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
FoxBound,https://www.g2.com/products/foxbound/reviews,4.7,"FoxBound unites Data and Sales Automation to create a single, streamlined platform to help sales teams perfect their prospecting workflows. With our list-building Chrome plugin and a 60 million+ B2B contact repository fused with sales engagement, reps can execute the entire pipeline generation process with ease.",-16,"There are 3 other integrations but only logos are there, tried to search the name of those companies but couldn't find it",zzz,zoominfo powered by discoverorg,discoverorg,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Sidetrade Acquisition,https://www.g2.com/products/sidetrade-acquisition/reviews,4.6,"Sidetrade is an international AI company focused on helping companies unlock customer value. Listed on the French stock exchange with more than 250 people and 7 offices across Europe and North America, we have thousands of customers in all sectors.
 Sidetrade Acquisition provides powerful answers to simple sales questions
 -Who should I prospect?
 -How best should I segment my prospects
 -How do I most effectively reach this lead?
 It is a B2B prospecting solution using AI and predictive analyti",-36,Data not found,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
sales-i,https://www.g2.com/products/sales-i/reviews,4.2,"sales-i is a Software-as-a-Service sales intelligence platform designed for B2B companies who want to improve the performance of their sales function, yet don't get the customer visibility they need. 
 - Alert your sales team to hidden, easy-to-close opportunities and give them greater visibility of customer buying patterns. 
 - Speed up your sales teams meeting prep, call planning and contact management, while giving them access to critical sales data in the palm of their hand. 
 - On average it",-133,Data on website,https://www.sales-i.com/explore/overview/erp-integration,mace systems,pegasus,SYSPRO,dmsi,sharp-ax,zzz,QuickBooks Online,Orderwise,maginus,intact,zzz,exchequer,zzz,zzz,Datatron,primaERP,bmi,zzz,calidore,zzz,karmak,dsi,zzz,ogl,ddi,Merlin,NetSuite,enavate,zzz,epicor erp,Microsoft Dynamics,kerridge,Oracle,sap erp,sage intacct,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
SalesRipe,https://www.g2.com/products/salesripe/reviews,4,"SalesRipe provides unlimited access to targeted business sales leads including phone numbers and direct emails. Find your next customers by industry, contact title, location, size, technologies used and more. Start with a 7-Day Free Trial, no credit card required.",-12,This company has shut down,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
SellHack,https://www.g2.com/products/sellhack/reviews,4.3,"Simplify Prospecting ""Inside"" Social Profiles",-14,Data on website,https://sellhack.com/#features,Salesforce,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
People.ai,https://www.g2.com/products/people-ai/reviews,4.2,"People.ai accelerates enterprise growth through the power of AI. With the industryâ€™s only Revenue Intelligence System, People.ai frees all customer-facing teams, including sales, marketing, and customer success, from manual data entry by automatically capturing all contact and customer activity data, dynamically updating CRM and other systems of record, and providing actionable intelligence across management tools to realize the full selling capacity of the enterprise. Some of the worldâ€™s best b",-32,"Data on website
 (couldn't discover one logo)",https://people.ai/product/integrations/,zzz,Skuid,dialpad talk,ringcentral office,okta,GoToMeeting,linkedin premium,Salesforce,g suite,Cisco webex,slack,ThoughtSpot,oracle eloqua,zoom,zzz,salesloft,Marketo,tableau,outreach,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
YesData,https://www.g2.com/products/yesdata/reviews,4.6,YesData connects Salesforce to the business database. You connect to your next company. It's that simple.,-12,Data not found,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Mint Global,https://www.g2.com/products/mint-global/reviews,3.8,Information Solutions,-11,Data from 3rd party,zzz,Salesforce,Microsoft Dynamics,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
DialSource,https://www.g2.com/products/dialsource/reviews,4.5,"We help customer-facing teams have better conversations
 DialSource for Salesforce and Microsoft Dynamics optimizes the time and energy you spend on calls with prospects & customers because that is where the real work of sales & service gets done.
 DialSource is an enterprise software company that creates and provides software for businesses to make, receive and manage their customer-facing communications. DialSourceâ€™s applications for Salesforce and Microsoft Dynamics CRM are designed to",-51,Data on website,https://dialsource.com/product/features,Salesforce,Microsoft Dynamics,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
BuzzBoard,https://www.g2.com/products/buzzboard/reviews,4,"BuzzBoard uncovers data-driven insights about SMBs that drive more meaningful conversations for marketers and sellers, resulting in increased sales across the customer lifecycle. By applying data science and digital signals to the worldâ€™s most extensive collection of business intelligence about SMBs, BuzzBoard answers the most important question for marketers and sellers: why will my prospects and customers want to engage? BuzzBoard transforms unproductive sales interactions into customized oppo",-34,Data on website,https://www.buzzboard.com/smbadvisor/,Salesforce,Zendesk Sell,Chrome,salesloft,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
Synthio,https://www.g2.com/products/synthio/reviews,4.2,"Synthio provides a streaming Contact Data Management platform which drives improved outcomes for B2B sales and marketers by continuously expanding, refreshing as well as maintaining their vital customer contact information. Visit us today to see how Synthio can help you reach more, better-qualified customers: https://synthio.com/",-24,Data on website,https://synthio.com/solutions/,Oracle,Hubspot,Marketo,Salesforce,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz,zzz
